Feature	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
Acidaminococcaceae	68043	3948	4080	188235	66522	0	0	214071	0	117327	72807	0	248649	0	68823	56688	0	12789	2889	0	11733	563574	37953	1046649	0	0	1007361	4739154	954	203340	7131	0	326355	35229	139122	180969	20094	1112712	268629	0	187440	6276	0	999684	0	105570	20715	0	175458	0	92532	241857	0	863253	212217	427464	0	257280	101688	19287	162249	0	56331	0	168762	0	1542	529716	10740	0	0	0	2748	82614	351870	1286886	0	0	7827	0	20538	469203	59736	106218
Actinomycetaceae	8991	0	0	3807	5454	32697	9966	1023	139014	5220	2880	12921	12684	1722	0	7524	10266	11211	46878	59520	26856	12285	5982	22869	28383	244335	2940	236415	558	65010	115362	52731	78300	24540	63789	12657	0	19890	2613	900	49296	116610	3783	37278	86433	18711	36765	3864	2607	0	558	72888	0	2427	26763	14331	34881	0	39495	5355	42093	0	17157	34101	21264	308367	9786	25515	11778	140214	19794	9381	201546	4935	4986	1092	77094	15156	4320	119037	73779	0	2871	8934
Aerococcaceae	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansiaceae	125853	0	113721	0	113799	0	0	2752641	0	25593	0	0	578571	0	0	0	460863	1239	0	0	754779	0	0	14751	0	0	3533154	0	0	30645	0	0	0	0	0	0	13560	0	132882	0	0	0	3012	0	0	0	0	0	0	0	0	0	5064	0	3191511	325569	0	126228	0	26862	900858	0	0	0	0	0	0	29748	1648002	0	0	124083	0	119571	0	0	0	17436	0	0	0	0	1868877	143958
Atopobiaceae	0	0	0	0	0	0	0	0	13056	0	0	0	23778	0	0	0	0	0	2361	0	0	0	0	0	0	3150	867	0	215808	0	0	0	1896	0	0	41775	0	0	0	0	786	0	7791	32409	0	0	4263	0	0	0	0	1887	0	0	0	0	118908	1536	0	11595	0	0	0	7761	0	260211	0	141	0	124275	0	0	0	0	0	0	0	0	0	2766	0	0	3426	0
Bacillales_unclassified	0	0	1815	1449	9105	1797	1245	0	18207	969	0	0	3351	0	3756	4635	0	0	0	0	0	0	0	34560	17643	43530	465	66633	0	110292	86727	26223	0	10449	8859	27951	0	0	1074	10074	0	17514	1596	13188	0	1335	2274	5712	0	0	0	0	0	0	4041	1344	35388	0	0	0	2826	1392	8829	250917	0	5502	3108	6693	0	5109	9102	2334	1242	0	6873	6948	22128	3399	0	4116	7932	0	0	0
Bacteroidaceae	9557082	10878729	15114555	14793705	9676110	0	1980603	5741001	191598	10834629	33266544	90861	6564093	52753956	17524005	668943	1725855	1325250	1095450	26038173	4956381	16219443	4182162	1715529	646659	37785	7014390	691956	12124944	14867172	1452462	5398632	5126559	5433888	9984459	1746426	13978482	20368671	18749751	2233914	3155571	81942	1151673	0	2392899	2319447	3708435	21646548	36276270	27374052	60752835	6405528	48939879	34993218	13325538	8224056	0	13831002	3403065	13252050	7092858	0	1679613	20456160	5759385	14535930	128514	7256286	2406759	2301	606555	955908	724428	8376753	11949357	2118777	21409323	36592584	7335624	15949986	9077646	33744903	9925833	19309083
Barnesiellaceae	432522	347247	540249	0	962340	0	0	966954	0	195996	34287	0	599937	0	0	969	0	232449	0	0	250269	69678	0	0	0	0	943869	0	0	84711	0	0	300750	0	0	57666	360570	0	0	18909	164424	0	73491	0	0	0	411	36309	3142749	0	0	1897212	16317	14733	322692	0	0	379014	1055262	300141	320640	0	174720	0	205191	0	0	0	344790	0	2547	0	12879	0	0	0	0	681	580665	0	485775	1473441	0	763398
Bifidobacteriaceae	9930042	57405954	10047096	6274140	2498061	4512912	81670857	412470	121487184	2454012	14937066	90356727	5824398	32564454	1868568	11067384	11648217	14227344	46973934	3787290	29632395	2374485	4443198	1760934	4911	9389508	454344	75236010	20993670	9674955	1498692	4126764	1026234	16608486	20544426	849318	13464846	12761514	26429517	21818793	7898643	9707877	1732209	3439086	7095501	6502206	2407629	13556454	1345599	1869072	230484	1110192	26444223	2654301	664572	90819	27393432	23463	10480611	1199784	695388	143784	15311511	11195382	2013213	16011837	5513871	3838122	24890691	41702712	23862324	14831211	41006649	42698469	2091513	2834382	0	2673510	6703110	5290872	2675589	1152909	5029692	5790807
Campylobacteraceae	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
