Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
衣原体目 (Chlamydiales)	715788	478116	295823	190904	340754	307961	467336	278196	505374	289031	446115	502005	784749	343962	786471	359262	404232	216860	560855	434717	438624	486658	726208	547065	328781	647028	977481	341445	477587	447220	369174	463739	616939	381498	393988	347442	384497	326109	345708	343161	295138	293160	324498	457726	363576	276396	510450	331627	93740	346477	239407	526175	409586	402287	474803	380178	341549	269548	210145	424471	281994	223492	501271	426865	912376	449398	486910	288566	388174	389855	367284	334593	297974	419328	281510	342966	441534	461753	655948	339893	286205	414207	364977	505361
乳杆菌目 (Lactobacillales)	94962	71680	45899	27470	30838	159326	115825	16383	70733	24018	59574	30329	44074	31568	215412	33196	50539	89909	60653	175024	85305	37431	101381	117391	55250	51804	28883	23146	49050	40506	28153	60282	32874	93701	47452	158048	84069	37730	19783	21376	35277	28390	52305	17431	32678	96748	30624	21910	67179	26418	51118	51366	66599	29932	36164	30506	45320	31756	42896	50629	36390	69695	29126	41287	36604	32858	105931	38131	118507	37716	46724	41410	44565	43679	41492	45672	34357	23429	42227	27784	34786	67594	30942	231938
肠杆菌目 (Enterobacterales)	195737	141028	184461	73899	173055	184216	133858	96157	233352	87051	188589	76394	187397	68626	224234	119526	144225	82656	163609	280739	152059	119068	260678	132258	121376	179266	121838	127578	219802	202558	116744	164066	175230	104479	125925	99190	133660	110058	30777	120776	103353	93901	116136	29892	153922	48281	139111	110632	32623	102713	50931	151222	102287	71789	124994	76714	192024	103387	181981	177212	88989	85188	181856	97634	182738	120924	197613	159172	139800	117458	120738	104394	110757	129487	85101	69085	98864	168286	227570	90788	183963	186629	136365	84952
拟杆菌目 (Bacteroidales)	44216	34328	41349	68002	203498	22033	24533	97803	36432	12624	30289	29838	18961	20669	10809	2017	24618	16916	35402	397	9782	18402	30046	11706	34592	78929	47919	180350	24462	109821	60715	65140	29057	894	35946	14738	29065	40335	35834	54544	47312	26020	652	2005	25246	318	60602	79979	143	23000	239088	26447	13663	4507	8421	3389	54980	22346	37138	11321	18788	42096	6750	22390	5674	26819	34723	5398	22621	66790	13349	21539	11463	39911	40079	63644	20713	11069	6420	18243	17986	6370	7428	14938
支原体目 (Mycoplasmatales)	66280	61408	28777	21704	39665	33839	42865	22671	65510	74503	73448	10259	187524	31915	111910	75531	72056	38469	139883	4784	231416	57671	1902428	338068	50049	45587	70540	22311	75741	8551	240946	49326	236808	8886	231952	217457	49879	52156	22370	59387	83704	166194	213734	10292	35454	10710	116109	24165	5073	34625	9745	33194	133241	39875	130862	25948	244642	25014	39793	51119	84729	7136	18338	30086	96719	83302	47832	92660	25716	69009	29138	63336	71230	119560	323489	26095	46446	98184	67291	33684	37051	34310	49695	33656
梭菌目 (Clostridiales)	34761	24298	28851	19149	19100	33842	33154	21545	34713	23597	40207	25116	55835	14317	41652	20192	34978	15739	53439	1643	35644	22992	80635	53640	26149	49495	24527	23506	32717	33432	9610	35598	20806	29813	51476	24719	19943	25485	9525	27785	32446	21848	66760	1896	34218	3365	31096	24745	19716	28912	5161	36208	36743	16268	25768	20539	36324	25487	30991	34604	24372	4229	10365	39160	85385	31812	32419	46497	30539	38563	30695	43729	19052	31848	20225	24236	33459	38329	33368	19944	30898	29405	46695	14970
乳酸菌目 (Lachnospirales)	905	610	3622	596	1058	968	2785	1054	1991	3038	1346	4338	2711	467	937	1941	1904	790	1782	78	1002	731	7816	3096	2301	1625	1157	1355	4184	4726	841	1248	2272	432	1951	2159	2202	922	1181	1755	1604	661	181	1231	2582	632	4364	3606	44	1281	1399	4768	1604	586	854	5428	2949	638	1023	24272	1256	3674	3675	413	9533	3663	5773	3288	11709	2954	2803	4945	465	534	673	888	8788	2060	1619	456	3705	1100	2065	1118
振荡螺旋菌目 (Oscillospirales)	14675	12314	2162	8037	8158	192	14642	3438	5770	422	1692	8	15506	353	6261	315	472	385	1763	36	5445	1022	5024	25378	1863	2966	6868	2891	4229	6125	6076	4333	2130	347	3537	1358	3977	2025	174	13126	2298	1764	1	32	3112	66	9212	4424	3	640	1180	4861	1052	601	2698	1453	83	5756	1377	729	3314	1	297	6612	2264	4526	6414	1817	1905	966	1635	3310	6978	2424	2768	5369	2305	2143	1938	3145	4238	1411	5873	3468
丙酸杆菌目 (Propionibacteriales)	2996	3318	247	515	161	4	1906	1286	931	1554	1551	3	3403	2284	9648	222	1573	76	1443	3	3409	1770	15384	2089	8113	1699	1195	210	13680	2618	1	1227	553	882	2568	239	545	14295	381	1747	451	4635	1	60	3590	81	1784	1407	5	1052	628	960	2655	50	13543	1444	19	3664	367	1721	2074	0	1	572	74164	9758	1226	1074	1468	952	753	831	362	8617	123	1578	1213	33088	875	237	1362	116	705	1924
双歧杆菌目 (Bifidobacteriales)	1727	60	32	98	14	266	25	606	0	22	0	0	4	0	1110	558	23469	522	30	0	519	333	2	869	452	17	13	37	4	5750	0	7	0	0	0	44	72	564	87	679	86	3	0	8482	26	4597	154	249	3469	10	75	310	20	82	701	105548	0	1278	3552	1881	63	0	0	21	2120	1602	1838	37	42	116	230	239	15	1522	7532	0	284	254	851	44	228	0	689	64
